Label,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,,,19.878000259399414,,,,8.4350004196167,,,,,4.427999973297119,3.3359999656677246,3.3359999656677246,,,0.0,,23.922000885009766,12.133000373840332,10.633000373840332,,,,,371.10101318359375,,-3.4200000762939453,,,,,,,,12.555000305175781,0.47699999809265137,12.555000305175781,,0.06800000369548798,0.3709999918937683,-1.3849999904632568,,2.4769999980926514,97.83799743652344,371.3450012207031,2.0,,,,,1.0,,3.0,,,,,5.0,0.0,0.0,,,,,10.857999801635742,,0.0,11.939000129699707,,,0.0,,13.345000267028809,19.410999298095703,,10.902999877929688,,24.2189998626709,,0.0,4.566999912261963,0.0,33.23400115966797,0.0,,,,,,0.0,0.0,26.7189998626709,12.965999603271484,0.0,46.875,,,21.871999740600586,0.0,,0.0,0.0,,0.0,,,0.0,0.0,6.941999912261963,,,,0.0,0.0,,,,,2.0,2.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
0,,109.8030014038086,10.484999656677246,,9.855999946594238,,,6.230999946594238,,3.9679999351501465,2.496000051498413,2.496000051498413,1.5880000591278076,1.5880000591278076,0.0,,0.0,,,,51.367000579833984,,6.076000213623047,18.819000244140625,,197.21400451660156,0.8460000157356262,,,170.14999389648438,1347.9119873046875,,,11.699999809265137,,3.6740000247955322,,3.6740000247955322,0.013000000268220901,0.9549999833106995,,,-0.31299999356269836,3.9030001163482666,65.677001953125,197.36599731445312,,1.0,0.0,,0.0,,,0.0,1.0,,1.0,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,,0.0,6.578999996185303,,12.965999603271484,6.545000076293945,0.0,0.0,,,0.0,5.316999912261963,,58.290000915527344,13.09000015258789,12.654999732971191,0.0,0.0,5.316999912261963,,,,13.09000015258789,0.0,0.0,,,,0.0,0.0,12.029999732971191,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,24.5,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,
0,2.2720000743865967,393.5690002441406,,,9.361000061035156,7.164999961853027,4.465000152587891,,3.1419999599456787,3.9560000896453857,1.9819999933242798,2.578000068664551,,,0.0,,0.0,0.0,27.3799991607666,13.09000015258789,0.0,12.133000373840332,0.0,,,,0.22200000286102295,-1.1299999952316284,15.0,,3583.260986328125,10.390000343322754,,,,6.004000186920166,,,,0.4830000102519989,0.19599999487400055,0.4830000102519989,-0.39899998903274536,1.9470000267028809,64.802001953125,,4.0,4.0,0.0,,,1.0,,1.0,4.0,3.0,6.0,,2.0,0.0,0.0,,,16.367000579833984,,,,,0.0,,,0.0,,23.20199966430664,,12.232000350952148,,,0.0,40.5359992980957,0.0,,,0.0,24.139999389648438,22.17799949645996,,,16.367000579833984,,0.0,23.20199966430664,,0.0,0.0,,,10.045000076293945,0.0,0.0,62.439998626708984,0.0,12.006999969482422,,0.0,0.0,,0.0,0.0,,,,0.0,,1.0,0.0,0.0,,0.0,,,0.0,,,,1.0,1.0,2.0,1.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,,0.0,,,1.0,,,0.0,0.0,,,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0
0,2.4619998931884766,,22.422000885009766,,18.648000717163086,,,10.015000343322754,6.585999965667725,,,5.375999927520752,3.2019999027252197,3.61899995803833,30.618999481201172,,,27.61199951171875,23.378000259399414,,,32.047000885009766,,,,455.0899963378906,0.38100001215934753,-2.509999990463257,30.0,433.13800048828125,2895320.25,23.766000747680664,10.498000144958496,,,12.928999900817871,0.4659999907016754,12.928999900817871,0.33899998664855957,0.13600000739097595,,-0.8849999904632568,,4.244999885559082,,456.3219909667969,1.0,7.0,0.0,,,,,1.0,7.0,1.0,9.0,0.0,10.0,,0.0,0.0,162.0,19.527000427246094,0.0,0.0,6.793000221252441,0.0,17.908000946044922,4.795000076293945,9.58899974822998,0.0,0.0,42.257999420166016,31.898000717163086,17.815000534057617,34.21900177001953,2.0,,41.11000061035156,,5.316999912261963,0.0,,13.902999877929688,,0.0,0.0,5.316999912261963,,0.0,,31.81100082397461,,0.0,,40.73899841308594,10.045000076293945,0.0,0.0,90.93000030517578,0.0,12.588000297546387,,0.0,,0.0,0.0,,,66.13500213623047,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,3.0,,,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,
0,,596.573974609375,15.907999992370605,13.404000282287598,,11.380999565124512,,8.140000343322754,5.441999912261963,,3.825000047683716,,2.740999937057495,,0.0,,0.0,12.208000183105469,13.21399974822998,30.152000427246094,,0.0,49.38800048828125,17.450000762939453,,313.1679992675781,0.36800000071525574,-2.0399999618530273,,290.2130126953125,287746.9375,,,,136.92799377441406,6.334000110626221,,6.334000110626221,0.16200000047683716,0.027000000700354576,0.16200000047683716,-0.17499999701976776,,3.194000005722046,90.03199768066406,313.3970031738281,,4.0,,1.0,1.0,2.0,0.0,2.0,,,4.0,0.0,6.0,0.0,,,,,6.104000091552734,17.60300064086914,0.0,0.0,0.0,0.0,,,0.0,,,13.09000015258789,13.21399974822998,3.0,,0.0,,,,,26.30299949645996,60.1609992980957,0.0,11.49899959564209,14.791000366210938,,11.49899959564209,0.0,,4.736999988555908,0.0,,,0.0,,0.0,39.720001220703125,,0.0,0.0,,0.0,0.0,,0.0,,46.66699981689453,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,,,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
0,1.7300000190734863,,16.39699935913086,,,11.024999618530273,6.474999904632568,,4.5960001945495605,,,3.0399999618530273,,1.937000036239624,16.851999282836914,20.014999389648438,0.0,,17.083999633789062,,,,0.0,10.093999862670898,4.416999816894531,,0.07100000232458115,-3.490000009536743,23.0,,235566.265625,,5.716000080108643,3.075000047683716,128.86599731445312,11.258999824523926,,,0.3630000054836273,0.010999999940395355,0.3630000054836273,,,,77.92900085449219,313.2489929199219,0.0,9.0,,,1.0,,1.0,2.0,6.0,0.0,,,4.0,,0.0,0.0,,9.52400016784668,,,,5.686999797821045,,10.11400032043457,,5.10099983215332,0.0,0.0,30.163000106811523,,17.683000564575195,3.0,19.242000579833984,,0.0,5.008999824523926,10.093999862670898,,,52.27299880981445,,11.324000358581543,5.10699987411499,,0.0,0.0,,0.0,,,50.909000396728516,0.0,11.324000358581543,,124.37000274658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519000053405762,61.48099899291992,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,1.0,,,1.0,,,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,1.0,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1,,,29.8439998626709,20.660999298095703,,19.459999084472656,11.255000114440918,12.071999549865723,,9.112000465393066,5.435999870300293,6.3429999351501465,,4.375,56.45399856567383,43.393001556396484,0.0,27.840999603271484,,,,0.0,,,9.473999977111816,586.0609741210938,0.07999999821186066,-5.380000114440918,41.0,570.3569946289062,901718080.0,,,,232.18600463867188,,,13.805999755859375,0.3179999887943268,0.013000000268220901,,,,5.256999969482422,,,1.0,,0.0,,,3.0,0.0,3.0,,,16.0,0.0,10.0,0.0,,1.0,210.0,14.791000366210938,,,11.656999588012695,16.833999633789062,5.686999797821045,39.512001037597656,8.781000137329102,,,6.065999984741211,53.733001708984375,,33.6150016784668,4.0,,51.95399856567383,0.0,4.900000095367432,0.0,0.0,18.97100067138672,96.92900085449219,,,14.791000366210938,,,,,9.58899974822998,,5.563000202178955,59.50199890136719,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,3.0,0.0,0.0,,,3.0,,,0.0,0.0,,,2.0,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,0.0,0.0,2.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0
0,,634.9949951171875,17.327999114990234,,,11.222000122070312,9.696000099182129,,,,8.696000099182129,,7.1539998054504395,7.1539998054504395,5.60099983215332,,0.0,16.613000869750977,36.37900161743164,,5.572999954223633,6.923999786376953,6.076000213623047,13.847000122070312,0.0,,0.8100000023841858,,,300.2279968261719,291351.5,,5.03000020980835,1.8799999952316284,,12.218000411987305,0.38199999928474426,,0.16099999845027924,0.04500000178813934,0.16099999845027924,-1.1230000257492065,,3.8380000591278076,92.34100341796875,,,3.0,,,4.0,0.0,,,,,3.0,0.0,1.0,3.0,,,,5.10699987411499,5.60099983215332,11.565999984741211,0.0,0.0,0.0,,,0.0,,,81.11399841308594,11.836000442504883,0.0,,14.696000099182129,11.565999984741211,,,,,0.0,11.64900016784668,0.0,0.0,0.0,,0.0,,,,,72.13800048828125,11.64900016784668,,0.0,0.0,54.369998931884766,0.0,0.0,,,,0.0,,0.0,,52.75,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,5.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,2.0,1.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,
0,2.2300000190734863,495.1059875488281,,13.762999534606934,13.762999534606934,10.52400016784668,,7.817999839782715,,,,,2.0369999408721924,,0.0,,,,,,,,0.0,31.31599998474121,4.736999988555908,,0.5,,,278.2019958496094,62666.953125,18.079999923706055,,7.1570000648498535,132.74000549316406,,0.5040000081062317,,0.2199999988079071,0.054999999701976776,,0.054999999701976776,-0.5040000081062317,3.7899999618530273,,305.4179992675781,,4.0,,0.0,0.0,1.0,0.0,,,2.0,4.0,0.0,,0.0,0.0,0.0,122.0,15.15999984741211,,11.49899959564209,5.9070000648498535,0.0,0.0,4.795000076293945,0.0,,,32.066001892089844,42.87699890136719,,,1.0,14.637999534606934,5.9070000648498535,0.0,,5.918000221252441,,,35.915000915527344,0.0,,,0.0,11.49899959564209,,18.124000549316406,,5.918000221252441,45.09400177001953,30.35099983215332,0.0,0.0,0.0,58.560001373291016,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,1.0,,,0.0,0.0,0.0,0.0,,0.0,,2.0,,0.0,0.0,,,,0.0,,,0.0,,,,,1.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0
1,,,11.052000045776367,7.206999778747559,8.02400016784668,,3.8570001125335693,,,3.7920000553131104,,2.4570000171661377,1.1200000047683716,1.8830000162124634,6.361999988555908,,0.0,5.75,,,,0.0,,9.720999717712402,5.734000205993652,,0.125,,,229.16200256347656,2390.156005859375,10.032999992370605,3.265000104904175,2.2960000038146973,86.28800201416016,11.88700008392334,,11.88700008392334,0.5730000138282776,0.26499998569488525,0.4059999883174896,-4.677000045776367,-0.4059999883174896,2.7769999504089355,50.71500015258789,234.20199584960938,,,0.0,,,,1.0,2.0,4.0,1.0,7.0,0.0,2.0,0.0,0.0,,80.0,10.470999717712402,5.75,,,,6.361999988555908,0.0,,0.0,13.170999526977539,11.336999893188477,12.133000373840332,6.065999984741211,10.217000007629395,2.0,,,,4.984000205993652,0.0,,,18.198999404907227,,,10.470999717712402,18.30299949645996,,,11.345999717712402,,0.0,0.0,18.198999404907227,,10.217000007629395,0.0,,,1.1119999885559082,,0.0,0.0,,0.0,,35.6619987487793,,,0.0,,1.0,0.0,,0.0,,,0.0,,0.0,0.0,,,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,1.0,0.0,,0.0,0.0,,,,3.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0
